assembly_accession	tax_id	tax_name	superkingdom	kingdom	phylum	class	order	family	genus	species
GCF_000007925.1	167539	Prochlorococcus marinus subsp. marinus str. CCMP1375	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
GCF_000009705.1	103690	Nostoc sp. PCC 7120 = FACHB-418	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	NA
GCF_000009725.1	1148	Synechocystis sp. PCC 6803	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Merismopediaceae	Synechocystis	NA
GCF_000010065.1	269084	Synechococcus elongatus PCC 6301	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus elongatus
GCF_000010625.1	449447	Microcystis aeruginosa NIES-843	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCF_000011345.1	197221	Thermosynechococcus vestitus BP-1	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Thermosynechococcaceae	Thermosynechococcus	Thermosynechococcus vestitus
GCF_000011385.1	251221	Gloeobacter violaceus PCC 7421	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Gloeobacterales	Gloeobacteraceae	Gloeobacter	Gloeobacter violaceus
GCF_000011465.1	59919	Prochlorococcus marinus subsp. pastoris str. CCMP1986	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
GCF_000011485.1	74547	Prochlorococcus marinus str. MIT 9313	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
GCF_000012465.1	59920	Prochlorococcus marinus str. NATL2A	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
GCF_000012505.1	316279	Synechococcus sp. CC9902	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCF_000012525.1	1140	Synechococcus elongatus PCC 7942 = FACHB-805	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus elongatus
