Assembly Accession	Assembly Level	Organism Taxonomic ID
GCF_000196515.1	Complete Genome	551115
GCA_000196515.1	Complete Genome	551115
GCF_000733415.1	Scaffold	1487953
GCA_000733415.1	Scaffold	1487953
GCF_000316605.1	Complete Genome	111781
GCA_000316605.1	Complete Genome	111781
GCF_001904615.1	Scaffold	454133
GCA_001904615.1	Scaffold	454133
GCF_001904725.1	Scaffold	454136
GCA_001904725.1	Scaffold	454136
GCF_016446395.1	Complete Genome	222819
GCA_016446395.1	Complete Genome	222819
GCF_015207735.1	Contig	767427
GCA_015207735.1	Contig	767427
GCF_000582685.1	Scaffold	1469607
GCA_000582685.1	Scaffold	1469607
GCF_002356215.1	Complete Genome	1827144
GCA_002356215.1	Complete Genome	1827144
GCA_012033135.1	Contig	2720417
GCA_012033145.1	Contig	2720418
GCA_031362245.1	Contig	2964578
GCA_031387975.1	Contig	2964579
GCA_012032835.1	Contig	2720424
GCA_012032135.1	Contig	2720443
GCA_012030735.1	Scaffold	2720477
GCA_031422435.1	Contig	2964580
GCF_024347835.1	Complete Genome	2954813
GCA_024347835.1	Complete Genome	2954813
GCF_000018105.1	Complete Genome	329726
GCA_000018105.1	Complete Genome	329726
GCF_018336915.1	Complete Genome	2762553
GCA_018336915.1	Complete Genome	2762553
GCF_021497025.1	Complete Genome	2740837
GCA_021497025.1	Complete Genome	2740837
GCF_000238775.2	Contig	310037
GCA_000238775.3	Contig	310037
GCA_012034865.1	Contig	2720402
GCF_028285745.1	Contig	2969217
GCA_028285745.1	Contig	2969217
GCF_028285565.1	Contig	2969218
GCA_028285565.1	Contig	2969218
GCA_028285315.1	Contig	2969219
GCA_012032145.1	Contig	2720442
GCA_012030725.1	Scaffold	2720481
GCF_003231495.1	Scaffold	1764569
GCF_963878285.1	Scaffold	1764569
GCA_003231495.1	Scaffold	1764569
GCA_963878285.1	Scaffold	1764569
GCF_011009555.1	Scaffold	2292702
GCA_011009555.1	Scaffold	2292702
GCF_011009535.1	Scaffold	2304604
GCA_011009535.1	Scaffold	2304604
GCF_041929185.1	Contig	3153630
GCA_041929185.1	Contig	3153630
GCF_014696265.1	Contig	2949571
GCA_014696265.1	Contig	2949571
GCF_041929145.1	Contig	3342834
GCA_041929145.1	Contig	3342834
GCF_017591665.1	Scaffold	2710484
GCF_963892965.1	Scaffold	2710484
GCA_017591665.1	Scaffold	2710484
GCA_019359795.1	Contig	2710484
GCA_963892965.1	Scaffold	2710484
GCF_017591595.2	Scaffold	2712845
GCF_963893445.1	Scaffold	2712845
GCA_017591595.2	Scaffold	2712845
GCA_963893445.1	Scaffold	2712845
GCF_015206995.1	Contig	1828822
GCF_963890585.1	Contig	1828822
GCA_015206995.1	Contig	1828822
GCA_963890585.1	Contig	1828822
GCF_000952155.1	Contig	1618023
GCF_963866605.1	Contig	1618023
GCA_000952155.1	Contig	1618023
GCA_963866605.1	Contig	1618023
GCA_043731345.1	Contig	2740544
GCA_030826005.1	Scaffold	3061236
GCA_002148405.1	Contig	1934309
GCA_026786325.1	Contig	2880363
GCF_014697025.1	Contig	2692768
GCA_014697025.1	Contig	2692768
GCA_012033605.1	Contig	2720423
GCA_012031975.1	Contig	2720446
GCF_000317515.1	Complete Genome	1173027
GCA_000317515.1	Complete Genome	1173027
GCF_036703385.1	Contig	3088169
GCA_036703355.1	Contig	3088169
GCA_036703375.1	Contig	3088169
GCA_036703385.1	Contig	3088169
GCA_036703415.1	Contig	3088169
GCA_036703435.1	Contig	3088169
GCF_042788235.1	Contig	2991925
GCA_042788235.1	Contig	2991925
GCF_044923475.1	Complete Genome	3082949
GCA_044923475.1	Complete Genome	3082949
GCF_016056305.1	Scaffold	2794033
GCA_016056305.1	Scaffold	2794033
GCF_014697625.1	Contig	947527
GCA_014697625.1	Contig	947527
GCF_047275885.1	Complete Genome	3392114
GCA_047275885.1	Complete Genome	3392114
GCF_014698735.1	Contig	2692877
GCA_014698735.1	Contig	2692877
GCF_014696775.1	Contig	2692878
GCA_014696775.1	Contig	2692878
GCF_014697335.1	Contig	2692879
GCA_014697335.1	Contig	2692879
GCF_014696465.1	Contig	2692880
GCA_014696465.1	Contig	2692880
GCF_000317695.1	Complete Genome	272123
