cats_str	n	min_len	max_len	mean_len	median_len	sd
Terpene	9279	1038	42213	17369.368789740274	20547	5721.044141536724
RiPP	7131	1012	76778	21784.867339784043	21218	11410.314966394602
NRP	6616	1008	110333	28015.5488210399	28412.5	18668.19272114083
Polyketide	3948	1067	120869	30703.06712259372	32167	17091.358231528364
NRP, Polyketide	2935	2829	194684	53234.384667802384	51182	26613.886235608894
Other	923	1166	60885	19875.234019501626	17853	10322.774574339863
NRP, RiPP	326	3246	243212	47720.245398773004	47966	27103.45936185258
NRP, Other	225	3934	102276	49336.06222222222	46488	24325.664221140654
NRP, Other, Polyketide	93	6955	187442	64229.82795698925	50779	35054.707525034806
NRP, Other, RiPP	93	18508	105102	74091.09677419355	70439	20724.165120890255
Polyketide, RiPP	83	7895	93357	45009.361445783135	44542	22792.21393027394
NRP, Polyketide, RiPP	82	26275	257631	81490.28048780488	67434	45364.82151397082
Polyketide, Terpene	78	26766	67472	44816.769230769234	45944.5	6696.322312843261
NRP, Terpene	77	19280	109966	56748.53246753247	55770	17380.488899447
Other, Polyketide	77	13712	93123	46041.493506493505	40752	15410.628488518614
RiPP, Terpene	72	16656	58387	35717.319444444445	33226	9595.694622635934
Other, Terpene	16	28374	57318	40210.0625	35699	10312.719799475792
NRP, Polyketide, Terpene	15	41132	87640	68896.33333333333	71600	11174.529543735141
Saccharide	15	5480	53712	27416.533333333333	24524	15466.480492927123
Saccharide, Terpene	11	28417	72674	60267.818181818184	64757	12582.99720112964
NRP, Other, Polyketide, RiPP	6	55746	127138	95703.33333333333	110001.5	31774.034063471805
Other, RiPP	5	25029	40231	30583.2	26376	6670.823764723515
NRP, Polyketide, RiPP, Terpene	2	84051	95169	89610	89610	7861.613193232035
NRP, Polyketide, Saccharide	2	72081	72081	72081	72081	0
NRP, Other, Terpene	1	71938	71938	71938	71938	NA
Other, Polyketide, RiPP	1	73872	73872	73872	73872	NA
