"bgc_id"	"on_contig_edge"	"length_nt"	"gcf_id"	"orig_folder"	"orig_filename"
1	0	19699	897	GCA_000007925.1	AE017126.1.region001.gbk
2	0	20461	278	GCA_000007925.1	AE017126.1.region002.gbk
3	0	21197	827	GCA_000007925.1	AE017126.1.region003.gbk
4	0	16926	152	GCA_000009705.1	BA000019.2.region001.gbk
5	0	21191	1124	GCA_000009705.1	BA000019.2.region002.gbk
6	0	63101	1723	GCA_000009705.1	BA000019.2.region003.gbk
7	0	43390	808	GCA_000009705.1	BA000019.2.region004.gbk
8	0	19164	591	GCA_000009705.1	BA000019.2.region005.gbk
9	0	20185	407	GCA_000009705.1	BA000019.2.region006.gbk
10	0	40565	1162	GCA_000009705.1	BA000019.2.region007.gbk
11	0	27114	1241	GCA_000009705.1	BA000019.2.region008.gbk
12	0	42465	437	GCA_000009705.1	BA000019.2.region009.gbk
13	0	93823	1740	GCA_000009705.1	BA000019.2.region010.gbk
14	0	58377	1712	GCA_000009705.1	BA000019.2.region011.gbk
15	0	41167	1377	GCA_000009705.1	BA000019.2.region012.gbk
16	0	20969	301	GCA_000009705.1	BA000019.2.region013.gbk
17	1	48252	1783	GCA_000009705.1	BA000019.2.region014.gbk
18	1	19731	168	GCA_000009705.1	BA000020.2.region001.gbk
19	0	20094	262	GCA_000009725.1	BA000022.2.region001.gbk
20	0	20502	310	GCA_000009725.1	BA000022.2.region002.gbk
21	0	20816	768	GCA_000009725.1	BA000022.2.region003.gbk
22	0	20212	837	GCA_000010065.1	AP008231.1.region001.gbk
23	0	20927	806	GCA_000010065.1	AP008231.1.region002.gbk
24	1	18626	972	GCA_000010625.1	AP009552.1.region001.gbk
25	0	29064	14	GCA_000010625.1	AP009552.1.region002.gbk
26	0	45526	1524	GCA_000010625.1	AP009552.1.region003.gbk
27	0	40208	725	GCA_000010625.1	AP009552.1.region004.gbk
28	0	17629	706	GCA_000010625.1	AP009552.1.region005.gbk
29	0	57111	1723	GCA_000010625.1	AP009552.1.region006.gbk
30	0	25810	191	GCA_000010625.1	AP009552.1.region007.gbk
31	0	20064	25	GCA_000010625.1	AP009552.1.region008.gbk
32	0	90608	1812	GCA_000010625.1	AP009552.1.region009.gbk
33	0	21956	372	GCA_000010625.1	AP009552.1.region010.gbk
