"proto_gene_id"	"bgc_id"	"proto_length"	"contig_name"	"proto_start_nt"	"proto_end_nt"	"bgc_annotation_id"	"proto_class"	"proto_category"
12279144	53953	19492	NC_007335.2	172530	192021	258456	terpene	terpene
12279581	53955	20680	NC_007335.2	616295	636974	258462	terpene	terpene
12279920	53956	21245	NC_007335.2	1175787	1197031	258468	terpene	terpene
15777387	69620	22880	NC_019751.1	982111	1004990	333141	lassopeptide	ripp
15777727	69621	51727	NC_019751.1	1984690	2036416	333147	hgle-ks	pks
15777865	69621	40534	NC_019751.1	2019320	2059853	333147	hgle-ks	pks
15778686	69623	43406	NC_019751.1	2067516	2110921	333156	nrps	nrps
15779273	69625	20306	NC_019751.1	2258766	2279071	333164	rre-containing	ripp
15779558	69626	41770	NC_019751.1	2301356	2343125	333169	lanthipeptide-class-v	ripp
15780114	69627	21911	NC_019751.1	2421734	2443644	333176	cyanobactin	ripp
15781314	69634	40328	NC_019751.1	2945142	2985469	333207	lanthipeptide-class-v	ripp
15781359	69634	23255	NC_019751.1	2950359	2973613	333207	lanthipeptide-class-ii	ripp
15782066	69637	85468	NC_019751.1	3045911	3131378	333224	nrp-metallophore	nrps
15782068	69637	85468	NC_019751.1	3045911	3131378	333224	nrps	nrps
15782092	69637	46129	NC_019751.1	3051399	3097527	333224	t1pks	pks
15783740	69642	22995	NC_019751.1	4442345	4465339	333247	terpene	terpene
15784081	69644	20255	NC_019751.1	5191322	5211576	333259	microviridin	ripp
15784237	69645	42434	NC_019751.1	5369390	5411823	333263	lanthipeptide-class-v	ripp
15784522	69646	41122	NC_019751.1	5520787	5561908	333267	ladderane	other
15784809	69648	20933	NC_019751.1	6740053	6760985	333276	terpene	terpene
15786367	69656	52338	NC_019693.1	441835	494172	333314	nrps	nrps
15786842	69658	44162	NC_019693.1	648678	692839	333324	t1pks	pks
15786845	69658	37177	NC_019693.1	648678	685854	333324	nrps	nrps
15787188	69660	20927	NC_019693.1	1491066	1511992	333334	terpene	terpene
15787302	69661	23246	NC_019693.1	1973513	1996758	333338	lanthipeptide-class-ii	ripp
15787442	69662	40870	NC_019693.1	2012892	2053761	333343	nrps-like	nrps
15788413	69668	77690	NC_019693.1	3963012	4040701	333372	nrp-metallophore	nrps
15788416	69668	77690	NC_019693.1	3963012	4040701	333372	nrps	nrps
15788462	69668	43072	NC_019693.1	3972520	4015591	333372	t1pks	pks
15790603	69676	22256	NC_019693.1	6626795	6649050	333408	lap	ripp
15791027	69678	24524	NC_019693.1	6840785	6865308	333418	oligosaccharide	saccharide
17772922	78022	19283	NZ_CP007753.1	156491	175773	373340	terpene	terpene
17773528	78024	20552	NZ_CP007753.1	593285	613836	373352	terpene	terpene
17774014	78028	21212	NZ_CP007753.1	993876	1015087	373364	terpene	terpene
1946724017	12044959	3309	JADBSO010000170.1	1	3309	56570223	nrps	nrps
1943531964	12023847	26314	JADBVH010000328.1	1	26314	56469471	nrps-like	nrps
1943531965	12023847	26314	JADBVH010000328.1	1	26314	56469471	t1pks	pks
1947161225	12047920	42456	JADBSF010000045.1	6017	48472	56584416	nrps	nrps
1947163315	12047936	9815	JADBSF010000220.1	1	9815	56584493	microviridin	ripp
69789329	310177	22729	NZ_CP096032.1	101636	124364	1485673	thioamitides	ripp
69789859	310178	20968	NZ_CP096032.1	818468	839435	1485682	terpene	terpene
69792226	310184	20933	NZ_CP096032.1	1838810	1859742	1485709	terpene	terpene
84914425	382015	21284	NZ_CVSZ01000037.1	35447	56730	1828353	terpene	terpene
1944420784	12029726	69405	JADBUR010000098.1	1	69405	56497530	nrps	nrps
1944482786	12030103	11917	JADBUQ010000093.1	1	11917	56499331	t3pks	pks
197216376	1049564	23010	NZ_AGIZ01000002.1	297376	320385	4986965	terpene	terpene
197329341	1050293	11221	NZ_AESD01000099.1	1	11221	4990443	nrps	nrps
200588722	1069952	2615	NZ_CAIP01000252.1	1	2615	5083696	cyanobactin	ripp
200588881	1069955	9285	NZ_CAIP01000393.1	1	9285	5083709	cyanobactin	ripp
201202275	1073199	25933	NZ_HE972557.1	20256	46188	5099198	cyanobactin	ripp
202043729	1077371	75164	NZ_AJLM01000104.1	1	75164	5119071	nrp-metallophore	nrps
202043731	1077371	75164	NZ_AJLM01000104.1	1	75164	5119071	nrps	nrps
202043737	1077371	64763	NZ_AJLM01000104.1	1	64763	5119071	t1pks	pks
202732835	1082635	26372	NZ_ALVZ01000136.1	1	26372	5144201	t1pks	pks
202733166	1082637	15774	NZ_ALVZ01000137.1	1	15774	5144211	terpene	terpene
206961502	1104607	20068	NZ_ASZQ01000002.1	1	20068	5248701	nrps	nrps
207396406	1107103	44740	NZ_KE384589.1	29556	74295	5260498	nrps-like	nrps
207396561	1107103	21911	NZ_KE384589.1	71680	93590	5260498	terpene	terpene
213073097	1135384	21212	NZ_JNAQ01000006.1	51065	72276	5395372	terpene	terpene
233642722	1239255	42419	NZ_LMTZ01000091.1	95856	138274	5898231	lanthipeptide-class-v	ripp
241740924	1279513	43324	NZ_KV757759.1	1830	45153	6090652	t1pks	pks
241741003	1279513	40797	NZ_KV757759.1	5563	46359	6090652	hgle-ks	pks
269278221	1415834	21908	NZ_BEYQ01000011.1	97361	119268	6745949	terpene	terpene
272180945	1431844	4066	NZ_PYCI01000237.1	1	4066	6822031	nrps	nrps
284714336	1503974	42724	NZ_RSCJ01000017.1	71007	113730	7167676	nrps-like	nrps
291697001	1535904	12519	NZ_BJCE01000104.1	6186	18704	7321830	terpene	terpene
310687983	1635159	16926	NZ_JACJQP010000008.1	202899	219824	7795494	nrps-independent-siderophore	other
312230337	1642613	15267	NZ_JADEWN010000079.1	1	15267	7831268	cyanobactin	ripp
312230353	1642613	23351	NZ_JADEWN010000079.1	114	23464	7831268	lanthipeptide-class-ii	ripp
344276531	1811773	25881	NZ_JAIHOM010000050.1	1	25881	8638852	resorcinol	other
387962269	2020322	21284	NZ_AWNH01000105.1	31416	52699	9634056	terpene	terpene
394435396	2051562	20453	NZ_KK073769.1	468961	489413	9782236	rre-containing	ripp
394438070	2051580	42375	NZ_KK073769.1	656993	699367	9782304	lanthipeptide-class-v	ripp
394444370	2051609	20822	NZ_KK073769.1	1448721	1469542	9782438	terpene	terpene
412657791	2132717	37353	NZ_JRFE01000013.1	78101	115453	10172419	nrps	nrps
419962393	2170300	6169	NZ_LUHJ01000070.1	1	6169	10351325	ladderane	other
420001025	2170503	14413	NZ_LVHO01000017.1	50217	64629	10352257	terpene	terpene
427693681	2210010	6191	NZ_NMQI01000565.1	1	6191	10540474	terpene	terpene
427830678	2210775	41152	NZ_NJHU01000005.1	20319	61470	10544025	arylpolyene	other
427867722	2210974	29334	NZ_NJHW01000028.1	5515	34848	10544973	arylpolyene	other
427879097	2211025	5638	NZ_NJHW01000081.1	1	5638	10545215	nrps	nrps
442232545	2289673	27366	NZ_VIKX01000259.1	1	27366	10918681	thioamide-nrp	nrps
442232551	2289673	25724	NZ_VIKX01000259.1	1	25724	10918681	nrps	nrps
442254656	2289793	17848	NZ_VILC01000094.1	1	17848	10919243	terpene	terpene
442951363	2293259	57227	NZ_BJCK01000001.1	121631	178857	10935768	nrps	nrps
442951443	2293259	44260	NZ_BJCK01000001.1	139223	183482	10935768	nrps-like	nrps
444447384	2302177	21923	NZ_WVIC01000009.1	13038	34960	10977695	terpene	terpene
445057740	2305937	40108	NZ_JAAGOG010000021.1	26815	66922	10995319	mycosporine-like	nrps
446681010	2314966	35928	NZ_QMEA01000310.1	1	35928	11037902	nrps	nrps
449323523	2330131	6182	NZ_VDFF01000296.1	1	6182	11108758	terpene	terpene
449331627	2330201	11080	NZ_VDFE01000916.1	1	11080	11109092	nrps-like	nrps
452486027	2347224	30872	NZ_JACJOF010000024.1	1	30872	11190503	terpene	terpene
452487582	2347235	20462	NZ_JACJOI010000011.1	45045	65506	11190556	rre-containing	ripp
452498596	2347288	6630	NZ_JACJOQ010000204.1	1	6630	11190805	terpene	terpene
452525593	2347432	2774	NZ_JACJPG010000109.1	1	2774	11191496	terpene	terpene
452584290	2347698	47274	NZ_JACJPA010000015.1	1152	48425	11192792	nrps	nrps
452673315	2348194	44224	NZ_JACJPX010000026.1	54244	98467	11195173	nrps	nrps
452707951	2348382	22657	NZ_JACJQU010000024.1	5866	28522	11196073	lassopeptide	ripp
452748551	2348602	42313	NZ_JACJSB010000005.1	82164	124476	11197150	t1pks	pks
452765917	2348687	27026	NZ_JACJQK010000068.1	1	27026	11197551	proteusin	ripp
452765933	2348687	26535	NZ_JACJQK010000068.1	1	26535	11197551	napaa	nrps
452765959	2348687	24117	NZ_JACJQK010000068.1	2910	27026	11197551	lanthipeptide-class-ii	ripp
452802175	2348885	16967	NZ_JACJRS010000046.1	29478	46444	11198512	terpene	terpene
452809272	2348931	20933	NZ_JACJSS010000007.1	6677	27609	11198732	terpene	terpene
452809517	2348933	43393	NZ_JACJSS010000007.1	76188	119580	11198741	hgle-ks	pks
452809553	2348933	34621	NZ_JACJSS010000007.1	84960	119580	11198741	t1pks	pks
452823066	2349003	20933	NZ_JACJQW010000007.1	70775	91707	11199076	terpene	terpene
452823937	2349010	21581	NZ_JACJQW010000007.1	222744	244324	11199098	microviridin	ripp
452865553	2349246	11834	NZ_JACJRD010000102.1	1	11834	11200243	cyanobactin	ripp
452934687	2349625	59692	NZ_JACJTM010000013.1	25002	84693	11202066	nrps	nrps
452988727	2349924	42375	NZ_JACJTA010000017.1	56424	98798	11203511	lanthipeptide-class-v	ripp
453078562	2350412	15077	NZ_JACJTR010000041.1	1	15077	11205855	microviridin	ripp
453166234	2350875	23324	NZ_JACXAE010000086.1	11637	34960	11208079	indole	other
454056227	2355530	93909	NZ_JACXXN010000009.1	128530	222438	11230357	nrps	nrps
454056315	2355530	83063	NZ_JACXXN010000009.1	133751	216813	11230357	t1pks	pks
454256267	2356413	11515	NZ_JADEXN010000108.1	1	11515	11234581	t1pks	pks
454284796	2356623	42405	NZ_JADEWF010000022.1	11155	53559	11235590	lanthipeptide-class-v	ripp
454300489	2356716	69821	NZ_JADEXO010000017.1	1	69821	11236020	t1pks	pks
454300508	2356716	22983	NZ_JADEXO010000017.1	3	22985	11236020	nrps-like	nrps
454300725	2356716	61987	NZ_JADEXO010000017.1	8885	70871	11236020	nrps	nrps
454306967	2356755	16314	NZ_JADEXO010000030.1	1	16314	11236191	terpene	terpene
454345647	2356989	16735	NZ_JADEVX010000097.1	1	16735	11237323	cyanobactin	ripp
454414675	2357433	30270	NZ_JADEXU010000056.1	15337	45606	11239458	lanthipeptide-class-v	ripp
460368648	2389532	41215	NZ_JABXYX010000002.1	1	41215	11391619	nrps	nrps
462298191	2399212	20819	NZ_JADOER010000007.1	47309	68127	11437875	terpene	terpene
1942691997	12018116	14091	JADBVW010000019.1	1	14091	56442372	cyanobactin	ripp
1942759779	12018593	29609	JADBVT010000114.1	40545	70153	56444644	t3pks	pks
467089905	2423771	36382	NZ_JADWDC010000020.1	1	36382	11554757	nrps-like	nrps
467089910	2423771	36382	NZ_JADWDC010000020.1	1	36382	11554757	t1pks	pks
467600938	2426920	45970	NZ_JAIVFT010000007.1	30508	76477	11569870	nrps	nrps
469483997	2437131	29891	NZ_JAKJHX010000055.1	3541	33431	11618380	nrps	nrps
474797976	2465283	41098	NZ_JAGQCF010000008.1	219	41316	11752376	t3pks	pks
476088789	2472048	27713	NZ_JAHLYW010000042.1	1	27713	11784536	t1pks	pks
476091609	2472065	41053	NZ_JAHLYY010000037.1	85038	126090	11784611	t3pks	pks
476365028	2473507	18142	NZ_JAMXEY010000051.1	1	18142	11791479	rre-containing	ripp
