Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Assembly Submitter	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Type Material Display Text	CheckM contamination
GCA_022984195.1	ASM2298419v1	Synechococcus elongatus PCC 6301	269084	OK		PCC 6301					Annotation submitted by University of California, San Diego	2749599	3	Complete Genome	2022-04-14		2695389	2695389	3	University of California, San Diego	2776	2720	assembly from type material	0.72
GCF_022984195.1	ASM2298419v1	Synechococcus elongatus PCC 6301	269084	OK		PCC 6301					GCF_022984195.1-RS_2024_04_10	2749599	3	Complete Genome	2022-04-14		2695389	2695389	3	University of California, San Diego	2779	2715	assembly from type material	0.72
GCA_003367075.2	ASM336707v2	Cylindrospermopsis raciborskii Cr2010	2108055	OK		Cr2010					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3757845	1	Complete Genome	2022-01-24		3757845	3757845	1	University of Tennessee	3386	3147	assembly designated as reftype	0.31
GCF_003367075.2	ASM336707v2	Cylindrospermopsis raciborskii Cr2010	2108055	OK		Cr2010					GCF_003367075.2-RS_2024_12_11	3757845	1	Complete Genome	2022-01-24		3757845	3757845	1	University of Tennessee	3415	3261	assembly designated as reftype	0.31
GCA_000020025.1	ASM2002v1	Nostoc punctiforme PCC 73102	63737	OK		ATCC 29133; PCC 73102					Annotation submitted by US DOE Joint Genome Institute	9059191	6	Complete Genome	2008-04-24		8234322	8234322	6	US DOE Joint Genome Institute	7174	6690	assembly from type material	0.61
GCF_000020025.1	ASM2002v1	Nostoc punctiforme PCC 73102	63737	OK		ATCC 29133; PCC 73102					GCF_000020025.1-RS_2024_03_15	9059191	6	Complete Genome	2008-04-24		8234322	8234322	6	US DOE Joint Genome Institute	7702	7314	assembly from type material	0.61
GCA_000317675.1	ASM31767v1	Cyanobacterium aponinum PCC 10605	755178	OK		PCC 10605					Annotation submitted by JGI	4176973	2	Complete Genome	2012-12-07		4114099	4114099	2	JGI	3614	3431	assembly from type material	0.73
GCF_000317675.1	ASM31767v1	Cyanobacterium aponinum PCC 10605	755178	OK		PCC 10605					GCF_000317675.1-RS_2024_08_19	4176973	2	Complete Genome	2012-12-07		4114099	4114099	2	JGI	3600	3484	assembly from type material	0.73
GCA_000011345.1	ASM1134v1	Thermosynechococcus vestitus BP-1	197221	OK		BP-1					Annotation submitted by Kazusa	2593857	1	Complete Genome	2004-05-11		2593857	2593857	1	Kazusa	2457	2452	assembly from type material	
GCF_000011345.1	ASM1134v1	Thermosynechococcus vestitus BP-1	197221	OK		BP-1					GCF_000011345.1-RS_2024_12_09	2593857	1	Complete Genome	2004-05-11		2593857	2593857	1	Kazusa	2546	2448	assembly from type material	
