"bgc_id"	"smc_bgc_length"	"contig_name"	"bgc_start_nt"	"bgc_end_nt"	"bgc_category"	"bgc_class"
4434	20013	NC_009976.1	143554	163566	{Terpene}	{terpene}
4435	20804	NC_009976.1	634987	655790	{Terpene}	{terpene}
4436	21197	NC_009976.1	1021174	1042370	{Terpene}	{terpene}
7270	19625	NZ_CM001775.1	223845	243469	{Terpene}	{terpene}
7280	48460	NZ_CM001775.1	1589072	1637531	{NRP,Polyketide}	{nrps-like,polyketide,t1pks}
7295	20489	NZ_CM001775.1	2020314	2040802	{Terpene}	{terpene}
7300	69396	NZ_CM001775.1	2669419	2738814	{NRP,Polyketide}	{arylpolyene,nrp,nrps-like}
7312	20930	NZ_CM001775.1	3620497	3641426	{Terpene}	{terpene}
7414	10378	NZ_CM001776.1	442253	452630	{Other}	{ectoine}
7420	19989	NZ_CM001776.1	2122817	2142805	{Terpene}	{terpene}
7422	61848	NZ_CM001776.1	3109680	3171527	{NRP,RiPP,Terpene}	{nrp,nrps,nrps-like,ripp,terpene}
7427	11125	NZ_CM001776.1	4431194	4442318	{Other,Polyketide}	{butyrolactone,polyketide}
7429	20840	NZ_CM001776.1	4566279	4587118	{Terpene}	{terpene}
7432	102904	NZ_CM001776.1	4822456	4925359	{NRP,Polyketide}	{nrp,nrps,nrps-like,polyketide,t1pks}
7445	40099	NZ_CP007203.1	510072	550170	{RiPP}	{lanthipeptide-class-v,ripp}
7447	52255	NZ_CP007203.1	771024	823278	{RiPP}	{lanthipeptide-class-v,ripp}
7452	45517	NZ_CP007203.1	1384965	1430481	{Other,Polyketide}	{hgle-ks,other}
7467	43577	NZ_CP007203.1	2266269	2309845	{NRP}	{mycosporine-like}
7470	20933	NZ_CP007203.1	2418455	2439387	{Terpene}	{terpene}
7472	138831	NZ_CP007203.1	2632244	2771074	{NRP,Polyketide}	{nrp,nrp-metallophore,nrps,nrps-like,t1pks}
7480	24314	NZ_CP007203.1	3411836	3436149	{RiPP}	{cyanobactin,ripp}
7482	80639	NZ_CP007203.1	4229491	4310129	{NRP,Polyketide}	{nrp,nrps,nrps-like,polyketide,t1pks}
7484	51978	NZ_CP007203.1	4646821	4698798	{Other,Polyketide}	{hgle-ks,other,t1pks}
7485	46718	NZ_CP007203.1	4845884	4892601	{RiPP}	{cyanobactin,lanthipeptide-class-v}
7489	87966	NZ_CP007203.1	4940094	5028059	{NRP,Other,Polyketide,RiPP}	{betalactone,microviridin,nrp,nrps,polyketide}
7494	54634	NZ_CP007203.1	5114772	5169405	{NRP}	{nrp,nrps}
7600	42389	NC_019697.1	538910	581298	{RiPP}	{lanthipeptide-class-v}
7605	17275	NC_019697.1	778662	795936	{Terpene}	{terpene}
7611	78607	NC_019697.1	900192	978798	{NRP,RiPP}	{microviridin,nrp,nrps}
7626	61663	NC_019697.1	1538136	1599798	{Alkaloid,Other,Terpene}	{alkaloid,indole,terpene}
7632	44006	NC_019697.1	1962295	2006300	{NRP}	{napaa,nrp}
7644	52765	NC_019697.1	2279786	2332550	{RiPP}	{lanthipeptide-class-ii,ripp}
7652	46849	NC_019697.1	2629694	2676542	{Polyketide,RiPP}	{ripp,t3pks}
7656	60931	NC_019697.1	2686900	2747830	{NRP,Polyketide}	{nrp,nrp-metallophore,nrps,t1pks}
7660	52235	NC_019697.1	2927440	2979674	{NRP,Polyketide}	{nrp,nrps,nrps-like,t1pks}
7676	50686	NC_019697.1	4543030	4593715	{NRP,Other}	{indole,nrp,nrps-like}
7681	22427	NC_019697.1	5019416	5041842	{Saccharide,Terpene}	{saccharide,terpene}
7700	46491	NC_019757.1	30	46520	{NRP,Polyketide}	{nrp,polyketide,t1pks}
7707	44504	NC_019757.1	488799	533302	{NRP,Polyketide}	{nrps-like,polyketide}
7708	44635	NC_019757.1	879997	924631	{NRP}	{nrp,nrps}
7711	33264	NC_019757.1	1306620	1339883	{RiPP}	{cyanobactin,ripp,ripp-like}
7713	49240	NC_019757.1	1348745	1397984	{Other,Polyketide}	{hgle-ks,other,t1pks}
7719	87543	NC_019757.1	1719504	1807046	{NRP,Polyketide,Terpene}	{nrp,nrp-metallophore,nrps,polyketide,t1pks,terpene}
7727	41561	NC_019757.1	1870144	1911704	{NRP}	{nrp,nrps-like}
7728	22230	NC_019757.1	1911896	1934125	{RiPP}	{lanthipeptide-class-ii,ripp}
7731	54993	NC_019757.1	2180639	2235631	{Polyketide}	{pks-like,polyketide,t1pks,t3pks}
7733	44995	NC_019757.1	2651072	2696066	{RiPP}	{lanthipeptide-class-v,ripp}
7734	19972	NC_019757.1	2745227	2765198	{Terpene}	{terpene}
7736	20745	NC_019757.1	2865261	2886005	{Terpene}	{terpene}
7737	52165	NC_019757.1	2953644	3005808	{Other,Polyketide}	{hgle-ks,other,t1pks}
7739	18923	NC_019757.1	3087768	3106690	{Terpene}	{terpene}
7741	20203	NC_019757.1	3587922	3608124	{Terpene}	{terpene}
7744	25563	NC_019757.1	3736416	3761978	{RiPP}	{lanthipeptide-class-ii,ripp}
7746	43227	NC_019757.1	4460135	4503361	{NRP}	{nrp,nrps}
7752	20020	NC_019757.1	4509529	4529548	{Terpene}	{terpene}
7755	40775	NC_019757.1	4555491	4596265	{NRP}	{nrp,nrps-like}
7762	19034	NC_019757.1	4912104	4931137	{RiPP}	{ripp,rre-containing}
7764	84051	NC_019757.1	4952380	5036430	{NRP,Polyketide,RiPP,Terpene}	{nrp,nrps,t1pks,terpene,thioamitides,thiopeptide}
7768	54631	NC_019757.1	5122893	5177523	{Polyketide,RiPP}	{ladderane,lassopeptide,ripp}
7771	41053	NC_019757.1	6008171	6049223	{RiPP}	{lanthipeptide-class-v,ripp}
