"region_gene_id"	"bgc_id"	"region_length"	"contig_name"	"region_start_nt"	"region_end_nt"	"bgc_annotation_id"	"region_class"	"region_category"
575872932	3081513	16814	NEXP01000049.1	46962	63775	14563221	cdps	NA
635331769	3482373	20987	NZ_LAHA01000037.1	44703	65689	16342627	terpene	NA
635332829	3482379	14086	NZ_LAHA01000037.1	92284	106369	16342658	"[""cyanobactin"", ""ripp-like""]"	NA
635371132	3482586	20294	NZ_LAHG01000005.1	24742	45035	16343671	microviridin	NA
636020389	3486184	29354	NZ_NHAI01000051.1	721	30074	16360826	crocagin	NA
636025696	3486218	29633	NZ_NHAG01000062.1	18748	48380	16360981	crocagin	NA
636046943	3486329	7305	NZ_NMQA01000224.1	1	7305	16361543	hgle-ks	NA
637232090	3493204	51561	NZ_PVWK01000125.1	1	51561	16394191	t2pks	NA
913471060	5400445	22738	CANHDI010000029.1	1	22738	25194042	nrps-like	NA
913977058	5403497	4332	CANLCW010000413.1	1	4332	25207981	nrps	NA
914201446	5404810	11277	CANLUB010000150.1	1	11277	25214014	"[""nrps"", ""nrps-like""]"	NA
915170726	5410557	12832	CANNAY010000095.1	1	12832	25240305	"[""t1pks"", ""nrps-like""]"	NA
929160812	5491142	7644	CAIMSC010000332.1	1	7644	25611544	nrps	NA
933866435	5518217	2240	CAIYEC010000349.1	1	2240	25735551	t1pks	NA
933985792	5518933	2711	CAIYIN010000254.1	1	2711	25738809	t3pks	NA
934207823	5520196	3905	CAIYRW010000049.1	1	3905	25744565	rre-containing	NA
954777814	5639005	6368	CALMNU010000805.1	1	6368	26289046	terpene	NA
962326672	5682326	21284	CVSV01000131.1	250932	272215	26487636	terpene	NA
962507325	5683354	13115	CVSZ01000071.1	126235	139349	26492395	terpene	NA
1216687219	7276197	22834	LWSY01000209.1	1	22834	33976460	"[""nrps-like"", ""t1pks""]"	NA
1296188024	7761184	33305	JADQBA010000069.1	1	33305	36335690	nrps	NA
1296192743	7761210	18100	JADQBA010000164.1	1	18100	36335819	nrps	NA
1301466807	7795123	4772	AQPY01000350.1	1	4772	36499337	cyanobactin	NA
1303546167	7808229	21212	JNAJ01000016.1	35778	56989	36562677	terpene	NA
1321467069	7927393	43045	ASZQ01000276.1	23905	66949	37129189	t1pks	NA
1323408297	7941977	17698	JAHHGV010000044.1	1	17698	37193047	phosphonate	NA
1323413798	7942023	24523	JAHHGV010000082.1	1	24523	37193260	nrps-like	NA
1325323103	7956574	27160	AJLK01000084.1	1	27160	37256889	nrps	NA
1327659860	7975322	16867	CALJJQ010000095.1	5785	22651	37340225	"[""spliceotide"", ""microviridin""]"	NA
1338768227	8063160	20909	JFMY01000032.1	113047	133955	37726211	terpene	NA
1344485498	8102351	20912	JNBE01000017.1	677	21588	37901394	terpene	NA
1345937551	8112126	9737	LJOT01000157.1	1	9737	37945760	lanthipeptide-class-v	NA
1352386143	8154067	19574	BBPA01000075.1	1	19574	38136085	terpene	NA
1353090765	8159015	45294	JAGKSW010000184.1	1	45294	38158539	"[""nrps"", ""t1pks""]"	NA
1368967794	8268189	6018	CAJQOK010000228.1	1	6018	38649717	nrps	NA
1369446529	8271803	78486	JADEXR010000006.1	1599	80084	38665538	"[""nrps"", ""nrp-metallophore"", ""t1pks""]"	NA
1370499539	8279633	22792	JAHHHO010000005.1	11689	34480	38699389	lassopeptide	NA
1377656740	8332610	20909	JFMV01000003.1	111538	132446	38933772	terpene	NA
1393062780	8467266	21284	QCIP01000007.1	50665	71948	39527168	terpene	NA
1394289916	8479460	4628	MTAW01000011.1	1	4628	39579762	nrps	NA
